	Joint SMILE	U	H	F
38	CCC1CO1.O	-308.724368	-308.72247899999996	-308.779213
39	CCC(C)=O.O	-308.77294	-308.771051	-308.830605
40	CC(C)OC=O.[HH]	-307.594822	-307.59387799999996	-307.634011
41	CC(C=O)CO.[HH]	-307.567493	-307.566549	-307.606203
42	CC1(O)CC1O.[HH]	-307.539271	-307.538327	-307.575926
43	C1COCCO1.[HH]	-307.55551099999997	-307.554567	-307.589116
44	OC1CC(O)C1.[HH]	-307.542315	-307.54137099999997	-307.578204
45	OCC1CCO1.[HH]	-307.535777	-307.534833	-307.572115
46	CC(O)CC=O.[HH]	-307.570462	-307.569518	-307.609331
47	CC(=O)CCO.[HH]	-307.578343	-307.577399	-307.618405
48	CCOC(C)=O.[HH]	-307.607387	-307.606443	-307.647075
49	CC1C(O)C1O.[HH]	-307.53396499999997	-307.53302	-307.570981
50	CC1(CO)CO1.[HH]	-307.539052	-307.538108	-307.5758140000001
51	CCOCC=O.[HH]	-307.559743	-307.558799	-307.59950299999997
52	OCC1CC1O.[HH]	-307.530074	-307.52913	-307.567447
53	C1COCOC1.[HH]	-307.56361499999997	-307.562671	-307.597128
54	O=CCCCO.[HH]	-307.564452	-307.563508	-307.604035
55	CCC(=O)OC.[HH]	-307.602997	-307.60205299999996	-307.642398
56	CC1COCO1.[HH]	-307.563241	-307.562296	-307.599195
57	COC1COC1.[HH]	-307.5220060000001	-307.52106200000014	-307.558945
58	COC1CC1O.[HH]	-307.52268	-307.521736	-307.559352
59	CC1OCCO1.[HH]	-307.567272	-307.566327	-307.603679
60	CC(=O)C(C)O.[HH]	-307.5869140000001	-307.5859700000001	-307.625022
61	CC(O)C1CO1.[HH]	-307.5390220000001	-307.538078	-307.57526
62	OCC1COC1.[HH]	-307.528025	-307.527081	-307.565064
63	COC(C)C=O.[HH]	-307.559107	-307.558163	-307.598185
64	COCC(C)=O.[HH]	-307.564235	-307.563291	-307.604498
65	CCC(O)C=O.[HH]	-307.574957	-307.574013	-307.612724
66	CC1(O)COC1.[HH]	-307.538272	-307.537328	-307.574452
67	OCCC1CO1.[HH]	-307.52975699999996	-307.528812	-307.56735299999997
68	OC1CCC1O.[HH]	-307.5441390000001	-307.543195	-307.579988
69	COCCC=O.[HH]	-307.556074	-307.55512999999996	-307.5956470000001
70	CC1OCC1O.[HH]	-307.538101	-307.537157	-307.575262
71	OC1CCOC1.[HH]	-307.560326	-307.55938199999997	-307.595858
72	CC(C)(O)C=O.[HH]	-307.57441	-307.573465	-307.613529
73	COCC1CO1.[HH]	-307.520151	-307.519207	-307.557716
74	OCC1(O)CC1.[HH]	-307.537691	-307.53674700000005	-307.574152
75	CC1OC1CO.[HH]	-307.53641	-307.5354660000001	-307.573837
76	CCC(=O)CO.[HH]	-307.572434	-307.571489	-307.612431
77	CCCOC=O.[HH]	-307.58925899999997	-307.588314	-307.62831
78	O=O.C.C1CC1	-158.297488	-158.295599	-158.34768400000002
79	[HH].O=O.CC1CC1	-157.11209	-157.111146	-157.14326200000005
80	[HH].O=O.C1CCC1	-157.111322	-157.110378	-157.141657
81	C.C.O=CC=O	-308.74669400000005	-308.74386	-308.822268
82	C.C=O.CC=O	-308.740536	-308.73770300000007	-308.816383
83	C.C=O.C1CO1	-308.69621800000004	-308.69338500000003	-308.77050699999995
84	C.C(=O)=O.CC	-120.236728	-120.234839	-120.285866
85	C.[C-]#[O+].CCO	-195.444474	-195.442584	-195.49674499999998
86	C.[C-]#[O+].COC	-195.43210699999997	-195.43021699999997	-195.484344
87	O.C.C#CCO	-308.683954	-308.68111999999996	-308.75858
88	[HH].C.O=C1COC1	-307.540038	-307.538149	-307.594484
89	[HH].C.O=CC1CO1	-307.531546	-307.529657	-307.58671200000003
90	[HH].C.CC(=O)C=O	-307.57372000000004	-307.57183100000003	-307.631131
91	[HH].C.O=C1CCO1	-307.577991	-307.57610200000005	-307.63191700000004
92	[HH].[C-]#[O+].CCOC	-194.24858500000002	-194.247641	-194.281899
93	[HH].[C-]#[O+].CCCO	-194.255495	-194.254551	-194.28893
94	[HH].[C-]#[O+].CC(C)O	-194.261748	-194.260804	-194.29466299999999
95	C=O.C=O.CC	-308.722158	-308.719326	-308.797805
96	O.C=O.C1CC1	-308.704039	-308.701206	-308.776704
97	[HH].C=O.OC1CC1	-307.511102	-307.50921300000005	-307.566957
98	[HH].C=O.C1COC1	-307.510714	-307.508826	-307.566045
99	[HH].C=O.CC1CO1	-307.515932	-307.514044	-307.57124699999997
100	[HH].C=O.CC(C)=O	-307.563715	-307.561826	-307.621744
101	[HH].C=O.CCC=O	-307.550862	-307.548973	-307.608066
102	CO.CO.C#C	-308.657159	-308.65432699999997	-308.731181
103	[C-]#[O+].CO.CC	-195.436482	-195.434594	-195.489145
104	O.CO.C#CC	-308.68323300000003	-308.68039999999996	-308.758
105	[HH].CO.C#CCO	-307.48184100000003	-307.479953	-307.53951
106	[HH].CC.O=CC=O	-307.55523600000004	-307.55334799999997	-307.612343
107	O.C#C.CCO	-308.675806	-308.67297199999996	-308.747926
108	O.C#C.COC	-308.66343900000004	-308.660605	-308.73552500000005
109	[HH].CC=O.CC=O	-307.567456	-307.5655680000001	-307.6250359999999
110	[HH].CC=O.C1CO1	-307.523138	-307.52125	-307.57915999999994
111	[HH].C1CO1.CC=O	-307.523138	-307.52125	-307.57915999999994
112	[HH].C1CO1.C1CO1	-307.4788200000001	-307.476932	-307.533284
113	O.[C-]#[O+].CCC	-195.44979400000003	-195.447905	-195.500506
114	O.O.C#CCC	-308.6960250000001	-308.69319099999996	-308.76892399999997
115	O.O.CC#CC	-308.70691400000004	-308.70408000000003	-308.782339
116	[HH].O.C#CCCO	-307.502038	-307.500149	-307.55765099999996
117	[HH].O.C1OC2CC12	-307.49082400000003	-307.48893499999997	-307.542098
118	[HH].O.C#CC(C)O	-307.504159	-307.50227	-307.55940999999996
119	[HH].O.C1C2CC1O2	-307.46731200000005	-307.465423	-307.51806999999997
120	[HH].O.O=C1CCC1	-307.55267100000003	-307.550781	-307.60675
121	[HH].O.C1=CCOC1	-307.53996600000005	-307.538077	-307.59228099999996
122	[HH].O.C1CC2OC12	-307.49979	-307.497901	-307.55119
123	[HH].O.O=CC1CC1	-307.541968	-307.540079	-307.59542
124	[HH].O.CC#CCO	-307.506574	-307.504685	-307.564851
125	[HH].O.C#CCOC	-307.48795600000005	-307.486066	-307.54356399999995
126	[HH].C#C.OCCO	-307.48325	-307.481362	-307.538624
127	[HH].C(=O)=O.CCC	-119.047927	-119.04698300000001	-119.078157
128	[HH].[HH].O=CC1(O)CC1	-306.358187	-306.357242	-306.393465
129	[HH].[HH].C1OC2COC12	-306.30834	-306.307396	-306.341231
130	[HH].[HH].CCC(=O)C=O	-306.385878	-306.384934	-306.424157
131	[HH].[HH].O=C1CC(O)C1	-306.363717	-306.362773	-306.399081
132	[HH].[HH].O=CCCC=O	-306.377325	-306.376381	-306.416352
133	[HH].[HH].CC1OC1C=O	-306.34768199999996	-306.346738	-306.383531
134	[HH].[HH].C1OCC2OC12	-306.3393200000001	-306.338376	-306.372064
135	[HH].[HH].CC1OCC1=O	-306.359174	-306.35823	-306.394728
136	[HH].[HH].CC1CC(=O)O1	-306.397481	-306.396537	-306.432231
137	[HH].[HH].O=C1CCCO1	-306.413341	-306.412397	-306.44714799999997
138	[HH].[HH].C1OCC12CO2	-306.30857599999996	-306.30763199999996	-306.342736
139	[HH].[HH].OCC#CCO	-306.3061140000001	-306.305169	-306.345991
140	[HH].[HH].O=CCC1CO1	-306.342772	-306.34182799999996	-306.3796430000001
141	[HH].[HH].O=C1CCOC1	-306.381259	-306.380315	-306.4154680000001
142	[HH].[HH].O=CC1CCO1	-306.34356099999997	-306.342617	-306.37987999999996
143	[HH].[HH].O=C1CCC1O	-306.362423	-306.361478	-306.398118
144	[HH].[HH].OC1C2CC1O2	-306.28128399999997	-306.28033999999997	-306.3144430000001
145	[HH].[HH].CC1COC1=O	-306.391983	-306.3910390000001	-306.427029
146	[HH].[HH].O=CC1COC1	-306.34124199999997	-306.340298	-306.377564
147	[HH].[HH].CC1(C=O)CO1	-306.352296	-306.35135099999997	-306.388334
148	[HH].[HH].OC12COC1C2	-306.303682	-306.302738	-306.337396
149	[HH].[HH].CC(C=O)C=O	-306.3763140000001	-306.3753700000001	-306.414827
150	[HH].[HH].CC(=O)C(C)=O	-306.399338	-306.398393	-306.43831
151	[HH].[HH].CC(=O)CC=O	-306.390688	-306.389744	-306.429362
152	[HH].[HH].C1OC2CC2O1	-306.330075	-306.329131	-306.362777
153	[HH].[HH].OC1CC2OC12	-306.315325	-306.31437999999997	-306.3487810000001
154	[HH].[HH].CC(=O)C1CO1	-306.355078	-306.354134	-306.3917830000001
155	[HH].[HH].C1OC1C1CO1	-306.308102	-306.307158	-306.34263
156	[HH].[HH].OC1C2COC12	-306.30339	-306.302446	-306.33666
157	[HH].[HH].C#CC(O)CO	-306.313986	-306.313042	-306.351017
158	[HH].[HH].O=CC1CC1O	-306.349478	-306.348534	-306.385395
159	[HH].[HH].O=COC1CC1	-306.364013	-306.363068	-306.4003390000001
160	O=O.C.C.C#C	-158.257651	-158.254817	-158.32462300000003
161	[HH].O=O.C.C#CC	-157.081612	-157.079723	-157.132372
162	[HH].O=O.C#C.CC	-157.066193	-157.064305	-157.11469800000003
163	[HH].[HH].O=O.C#CCC	-155.892291	-155.891347	-155.924226
164	[HH].[HH].O=O.CC#CC	-155.90318	-155.90223600000004	-155.93764099999999
165	C.C.[C-]#[O+].C=O	-195.43286999999998	-195.430036	-195.50246199999998
166	[HH].C.[C-]#[O+].CC=O	-194.25979	-194.25790100000006	-194.31111499999994
167	[HH].C.[C-]#[O+].C1CO1	-194.21547200000003	-194.21358299999997	-194.26523899999998
168	O.C.C=O.C#C	-308.664202	-308.660424	-308.753643
169	[HH].[C-]#[O+].C=O.CC	-194.241412	-194.23952400000002	-194.29253699999998
170	[HH].O.[C-]#[O+].C1CC1	-194.223293	-194.221404	-194.271436
171	[HH].[HH].[C-]#[O+].OC1CC1	-193.030356	-193.029411	-193.061689
172	[HH].[HH].[C-]#[O+].C1COC1	-193.029968	-193.029024	-193.060777
173	[HH].[HH].[C-]#[O+].CC1CO1	-193.035186	-193.034242	-193.065979
174	[HH].[HH].[C-]#[O+].CC(C)=O	-193.082969	-193.082024	-193.116476
175	[HH].[HH].[C-]#[O+].CCC=O	-193.07011599999998	-193.06917099999998	-193.102798
176	[HH].O.C=O.C#CC	-307.488163	-307.48533	-307.561392
177	[HH].C=O.CO.C#C	-307.462089	-307.459257	-307.534573
178	[HH].[HH].C=O.C#CCO	-306.286771	-306.28488300000004	-306.342902
179	[HH].O.C#C.CC=O	-307.491122	-307.488289	-307.56229599999995
180	[HH].O.C#C.C1CO1	-307.44680400000004	-307.443971	-307.51642000000004
181	[HH].[HH].O.CC#CC=O	-306.32423300000005	-306.322344	-306.381305
182	[HH].[HH].O.c1ccoc1	-306.36728100000005	-306.365392	-306.417742
183	[HH].[HH].O.C#CCC=O	-306.314246	-306.312357	-306.36920399999997
184	[HH].[HH].O.C#CC(C)=O	-306.32348900000005	-306.321599	-306.378192
185	[HH].[HH].O.C#CC1CO1	-306.276557	-306.27466799999996	-306.329456
186	[HH].[HH].C#C.COC=O	-306.31453	-306.312642	-306.368515
187	[HH].[HH].C#C.O=CCO	-306.293296	-306.291408	-306.347347
188	[HH].[HH].C(=O)=O.C1CC1	-117.821426	-117.82048200000001	-117.84908700000001
189	[HH].[HH].[HH].C#CC(=O)OC	-305.149492	-305.148548	-305.186165
190	[HH].[HH].[HH].O1C2C1C1OC21	-305.053089	-305.052145	-305.084646
191	[HH].[HH].[HH].C#CC(O)C=O	-305.123844	-305.1229	-305.160099
192	[HH].[HH].[HH].O=CC#CCO	-305.123003	-305.122059	-305.16123799999997
193	[HH].[HH].[HH].C#CCOC=O	-305.13858	-305.137636	-305.175765
194	[HH].[HH].[HH].O=C1CC2OC12	-305.129673	-305.128729	-305.162619
195	[HH].[HH].[HH].C#CC(=O)CO	-305.123605	-305.122661	-305.160728
196	[HH].[HH].[HH].O1C2C3OC2C13	-305.032628	-305.031683	-305.063763
197	[HH].[HH].[HH].O=C1OC2CC12	-305.154609	-305.153665	-305.187032
198	[HH].C.C.[C-]#[O+].[C-]#[O+]	-80.952124	-80.950234	-80.997194
199	[HH].O.C.[C-]#[O+].C#C	-194.18345600000004	-194.18062199999997	-194.248375
200	[HH].[HH].[C-]#[O+].[C-]#[O+].CC	-79.760666	-79.759722	-79.787269
201	[HH].[HH].O.[C-]#[O+].C#CC	-193.00741700000003	-193.005528	-193.056124
202	[HH].[HH].[C-]#[O+].CO.C#C	-192.98134299999998	-192.97945499999997	-193.02930500000002
203	[HH].[HH].[HH].[C-]#[O+].C#CCO	-191.806025	-191.805081	-191.837634
204	[HH].[HH].C=O.C=O.C#C	-306.267019	-306.264187	-306.337965
205	[HH].O.O.C#C.C#C	-307.41478800000004	-307.41101	-307.49955600000004
206	[HH].[HH].C.C(=O)=O.C#C	-117.781589	-117.77969999999999	-117.82602600000001
207	[HH].[HH].[HH].C#C.O=CC=O	-305.100097	-305.098209	-305.152503
208	[HH].[HH].[HH].C(=O)=O.C#CC	-116.60555	-116.604606	-116.633775
209	[HH].[HH].[HH].[C-]#[O+].C=O.C#C	-191.786273	-191.784385	-191.832697
210	[HH].[HH].[HH].O=O.C#C.C#C	-154.611054	-154.609166	-154.65485800000005
211	[HH].[HH].[HH].[HH].[C-]#[O+].[C-]#[O+].C#C	-77.305527	-77.304583	-77.32742900000002
212	CCOCCO	-308.751559	-308.750615	-308.791113
213	OCCCCO	-308.749984	-308.74904	-308.7902200000001
214	COC(C)CO	-308.74959	-308.748646	-308.788936
215	COCCOC	-308.733932	-308.732988	-308.774251
216	CC(CO)CO	-308.751086	-308.7501410000001	-308.790858
217	COCC(C)O	-308.751467	-308.750523	-308.790567
218	CC(O)CCO	-308.756772	-308.75582799999995	-308.796363
219	CCC(O)CO	-308.760556	-308.759611	-308.799183
220	CC(O)C(C)O	-308.76428799999996	-308.763343	-308.804403
221	CC(C)(O)CO	-308.7615140000001	-308.7605700000001	-308.800675
222	COCCCO	-308.741831	-308.740887	-308.78212
